Day,Condition,mean,std,count,SEM
1,Control,52.346000000000004,1.7735642080285676,5,0.7931620263224911
1,Treatment A,53.09400000000001,2.053735620765245,5,0.9184584911687633
1,Treatment B,50.638,2.296980626822957,5,1.0272409649152416
2,Control,50.61,1.6283734215467902,5,0.7282307326665087
2,Treatment A,53.67,2.6323373643968946,5,1.177217057300818
2,Treatment B,54.822,1.501072949593057,5,0.6713002308952382
3,Control,54.104,2.8996085942761294,5,1.2967443849888065
3,Treatment A,53.948,2.4388460386010435,5,1.0906851057936018
3,Treatment B,57.908,2.0453410473561613,5,0.9147043238117986
4,Control,54.028,2.680479434728047,5,1.1987468456684247
4,Treatment A,58.45399999999999,1.7607186032980955,5,0.7874172972446053
4,Treatment B,61.746,1.9738110345217965,5,0.8827151295859842
5,Control,54.922000000000004,2.0356252110838113,5,0.910359269739152
5,Treatment A,61.001999999999995,2.012876051822368,5,0.9001855364312409
5,Treatment B,64.404,4.272444265288896,5,1.9106951614530232
6,Control,56.556,2.621713180346015,5,1.172465777752171
6,Treatment A,62.141999999999996,2.257226173869159,5,1.0094622330726397
6,Treatment B,67.164,1.5966621433478059,5,0.7140490179252414
7,Control,58.220000000000006,1.6188267356329407,5,0.7239613249338672
7,Treatment A,63.42999999999999,1.8089637917879944,5,0.8089932014547462
7,Treatment B,68.02799999999999,1.2467838625840437,5,0.5575786939975357
8,Control,60.924,1.9476216264973019,5,0.8710028702593344
8,Treatment A,66.19200000000001,3.9070154849961827,5,1.7472704427191548
8,Treatment B,72.896,2.2125166666038893,5,0.989467533575507
9,Control,61.038,2.9799781878396376,5,1.3326867598952132
9,Treatment A,68.114,3.1536613641924256,5,1.4103602376697968
9,Treatment B,73.702,2.098885418501924,5,0.9386500945506793
10,Control,62.010000000000005,2.8758216217283015,5,1.2861065274696335
10,Treatment A,70.186,2.6286555498961794,5,1.1755704997999894
10,Treatment B,77.52000000000001,2.5162571410728294,5,1.1253044032616248
